Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2022-08-06 20:05 (-07),On Demand,Selena Samuela,10,Stretching,Lower Body Stretch,10 min Lower Body Stretch,2020-09-16 07:00 (-07),,,,,,,29,,,
2022-08-07 20:18 (-07),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Tropical House Full Body Stretch,2022-07-27 04:05 (-07),,,,,,,29,,,
2022-08-08 06:59 (-07),On Demand,Tunde Oyeneyin,5,Strength,Warm Up,5 min Upper Body Warm Up,2022-05-13 07:00 (-07),,,,,,,14,,,
2022-08-08 07:05 (-07),On Demand,Tunde Oyeneyin,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,58,,,
2022-08-08 20:31 (-07),On Demand,Robin Arzon,10,Stretching,Full Body Stretch,10 min Barbra Streisand Stretch,2022-06-15 07:00 (-07),,,,,,,29,,,
2022-08-09 07:48 (-07),On Demand,Kendall Toole,30,Cycling,Intervals,30 min HIIT & Hills Ride,2022-08-08 16:53 (-07),306,170,47%,79,19.54,9.78,386,147.00,,
2022-08-09 20:28 (-07),On Demand,Matty Maggiacomo,5,Stretching,Full Body Stretch,5 min Full Body Stretch,2022-07-27 07:00 (-07),,,,,,,14,,,
2022-08-10 06:56 (-07),On Demand,Tunde Oyeneyin,5,Strength,Warm Up,5 min Upper Body Warm Up,2022-05-13 07:00 (-07),,,,,,,29,,,
2022-08-10 20:52 (-07),On Demand,Daniel McKenna,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2022-08-10 07:00 (-07),,,,,,,29,,,
2022-08-11 08:03 (-07),On Demand,Tunde Oyeneyin,5,Strength,Warm Up,5 min Upper Body Warm Up,2022-05-13 07:00 (-07),,,,,,,29,,,
2022-08-11 08:08 (-07),On Demand,Tunde Oyeneyin,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,58,,,
2022-08-11 21:21 (-07),On Demand,Daniel McKenna,5,Stretching,Lower Body Stretch,5 min Lower Body Stretch,2022-06-06 07:00 (-07),,,,,,,14,,,
2022-08-12 08:16 (-07),On Demand,Bradley Rose,15,Cycling,Intervals,15 min Tabata Ride,2022-08-10 10:52 (-07),130,145,44%,82,18.41,4.61,143,126.00,,
2022-08-13 09:24 (-07),On Demand,Tunde Oyeneyin,5,Strength,Warm Up,5 min Upper Body Warm Up,2022-05-13 07:00 (-07),,,,,,,14,,,
2022-08-13 09:30 (-07),On Demand,Tunde Oyeneyin,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,58,,,
2022-08-13 20:37 (-07),On Demand,Kendall Toole,10,Stretching,Boxing Stretch,10 min Boxing Stretch,2022-05-25 09:00 (-07),,,,,,,29,,,
2022-08-14 08:11 (-07),On Demand,Kendall Toole,30,Cycling,Music,30 min EDM Ride,2022-08-14 04:55 (-07),302,167,48%,78,19.47,9.74,350,139.00,,
2022-08-14 08:42 (-07),On Demand,Matt Wilpers,5,Cycling,Cool Down,5 min Cool Down Ride,2022-08-04 08:00 (-07),13,44,20%,88,10.94,0.91,41,117.00,,
2022-08-14 08:49 (-07),On Demand,Hannah Corbin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-07-24 08:00 (-07),,,,,,,14,,,
2022-08-14 19:59 (-07),On Demand,Selena Samuela,15,Stretching,Full Body Stretch,15 min Full Body Stretch,2022-04-27 07:00 (-07),,,,,,,43,,,
2022-08-15 08:07 (-07),On Demand,Tunde Oyeneyin,5,Strength,Warm Up,5 min Upper Body Warm Up,2022-05-13 07:00 (-07),,,,,,,29,,,
2022-08-15 08:13 (-07),On Demand,Tunde Oyeneyin,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,58,,,
2022-08-15 21:10 (-07),On Demand,Daniel McKenna,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2022-08-10 07:00 (-07),,,,,,,29,,,
2022-08-16 08:32 (-07),On Demand,Bradley Rose,30,Cycling,Music,30 min 2010s Pop Ride,2022-08-13 03:55 (-07),259,144,43%,84,18.42,9.21,301,129.00,,
2022-08-17 06:45 (-07),On Demand,Tunde Oyeneyin,5,Strength,Warm Up,5 min Upper Body Warm Up,2022-05-13 07:00 (-07),,,,,,,14,,,
2022-08-17 06:51 (-07),On Demand,Tunde Oyeneyin,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,58,,,
2022-08-17 20:15 (-07),On Demand,Rebecca Kennedy,30,Stretching,Full Body Stretch,30 min Full Body Stretch,2022-07-13 07:00 (-07),,,,,,,86,,,
2022-08-18 08:01 (-07),On Demand,Ben Alldis,30,Cycling,Music,30 min EDM Ride,2022-08-12 11:55 (-07),303,168,49%,76,19.49,9.75,356,140.00,,
2022-08-18 21:36 (-07),On Demand,Matty Maggiacomo,5,Stretching,Full Body Stretch,5 min Full Body Stretch,2022-07-27 07:00 (-07),,,,,,,14,,,
2022-08-19 06:58 (-07),On Demand,Tunde Oyeneyin,15,Strength,Upper Body,15 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,86,,,
2022-08-19 20:42 (-07),On Demand,Hannah Corbin,10,Stretching,Full Body Stretch,10min AFO Full Body Florence+The Machine,2022-08-19 07:00 (-07),,,,,,,29,,,
2022-08-20 07:48 (-07),On Demand,Jess King,20,Cycling,Music,20 min AFO Ride: SOFI TUKKER,2022-08-19 05:15 (-07),204,170,47%,79,19.55,6.52,206,131.00,,
2022-08-20 08:11 (-07),On Demand,Matt Wilpers,5,Cycling,Cool Down,5 min Cool Down Ride,2022-08-04 08:00 (-07),16,53,25%,88,12.07,1.01,22,,,
2022-08-20 08:17 (-07),On Demand,Denis Morton,5,Stretching,Pre & Post-Ride Stretch,5 min AFO Stretch: Carrie Underwood,2022-08-19 07:00 (-07),,,,,,,14,,,
2022-08-20 19:51 (-07),On Demand,Hannah Corbin,20,Stretching,Foam Rolling,20 min Foam Rolling: Full Body,2022-05-16 06:00 (-07),,,,,,,58,,,
2022-08-21 20:35 (-07),On Demand,Adrian Williams,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2022-08-03 07:00 (-07),,,,,,,29,,,
2022-08-22 07:05 (-07),On Demand,Tunde Oyeneyin,5,Strength,Warm Up,5 min Upper Body Warm Up,2022-05-13 07:00 (-07),,,,,,,29,,,
2022-08-22 07:11 (-07),On Demand,Tunde Oyeneyin,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,58,,,
2022-08-22 20:04 (-07),On Demand,Logan Aldridge,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2022-06-01 16:15 (-07),,,,,,,29,,,
2022-08-23 08:19 (-07),On Demand,Ben Alldis,20,Cycling,Intervals,20 min HIIT Ride,2022-08-22 11:00 (-07),196,164,48%,75,19.14,6.38,230,138.00,,
2022-08-23 20:37 (-07),On Demand,Matty Maggiacomo,5,Stretching,Full Body Stretch,5 min Full Body Stretch,2022-05-04 07:00 (-07),,,,,,,14,,,
2022-08-24 06:19 (-07),On Demand,Tunde Oyeneyin,15,Strength,Upper Body,15 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,86,,,
2022-08-25 07:22 (-07),On Demand,Hannah Frankson,20,Cycling,Music,20 min Pop Ride,2022-08-24 22:55 (-07),187,156,47%,76,18.87,6.29,227,137.00,,
2022-08-26 07:47 (-07),On Demand,Tunde Oyeneyin,15,Strength,Upper Body,15 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,86,,,
2022-08-26 20:21 (-07),On Demand,Jermaine Johnson,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2022-05-03 04:08 (-07),,,,,,,29,,,
2022-08-27 08:23 (-07),On Demand,Ben Alldis,5,Cycling,Warm Up,5 min AFO Warm Up Ride: RUFUS DU SOL,2022-08-19 05:15 (-07),25,82,31%,96,14.67,1.22,27,99.00,,
2022-08-27 08:29 (-07),On Demand,Camila Ramon,30,Cycling,Music,30 min EDM Ride,2022-08-26 14:25 (-07),329,183,51%,76,20.24,10.12,445,,,
2022-08-27 09:02 (-07),On Demand,Bradley Rose,10,Cycling,Cool Down,10 min Cool Down Ride,2022-08-01 22:10 (-07),44,72,39%,66,13.92,2.32,59,,,
2022-08-27 09:14 (-07),On Demand,Kendall Toole,5,Stretching,Pre & Post-Ride Stretch,5 min AFO Post-Ride Stretch: Green Day,2022-08-19 07:00 (-07),,,,,,,14,,,
2022-08-27 20:26 (-07),On Demand,Robin Arzon,5,Stretching,Full Body Stretch,5 min Full Body Stretch,2022-04-20 07:00 (-07),,,,,,,29,,,
2022-08-28 16:47 (-07),On Demand,Hannah Corbin,20,Stretching,Foam Rolling,20 min Foam Rolling: Full Body,2022-02-24 08:00 (-07),,,,,,,58,,,
2022-08-29 06:56 (-07),On Demand,Tunde Oyeneyin,5,Strength,Warm Up,5 min Upper Body Warm Up,2022-05-13 07:00 (-07),,,,,,,14,,,
2022-08-29 07:02 (-07),On Demand,Tunde Oyeneyin,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,58,,,
2022-08-30 07:41 (-07),On Demand,Hannah Corbin,15,Cycling,Music,15 min Dance Music Ride,2022-08-12 09:39 (-07),147,163,51%,70,19.00,4.75,152,127.00,,
2022-08-31 07:20 (-07),On Demand,Tunde Oyeneyin,15,Strength,Upper Body,15 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,86,,,
2022-08-31 20:34 (-07),On Demand,Jermaine Johnson,5,Stretching,Boxing Stretch,5 min Boxing Stretch,2022-08-25 06:30 (-07),,,,,,,14,,,
2022-09-01 07:30 (-07),On Demand,Alex Toussaint,30,Cycling,Intervals,30 min Tabata Ride,2022-08-30 15:54 (-07),219,121,38%,91,17.37,8.69,284,125.00,,
2022-09-01 21:06 (-07),On Demand,Ben Alldis,5,Stretching,Upper Body Stretch,5 min Upper Body Stretch,2022-08-31 04:05 (-07),,,,,,,14,,,
2022-09-02 07:15 (-07),On Demand,Tunde Oyeneyin,20,Strength,Upper Body,20 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,115,,,
2022-09-02 21:58 (-07),On Demand,Matty Maggiacomo,5,Stretching,Upper Body Stretch,5 min Upper Body Stretch,2022-06-29 07:00 (-07),,,,,,,14,,,
2022-09-03 07:54 (-07),On Demand,Leanne Hainsby-Alldis,10,Cycling,Warm Up,10 min Warm Up Ride,2022-08-31 23:00 (-07),52,87,33%,90,15.01,2.50,56,100.00,,
2022-09-03 08:06 (-07),On Demand,Olivia Amato,30,Cycling,Music,30 min EDM Ride,2022-09-03 04:55 (-07),327,182,49%,79,20.24,10.12,443,,,
2022-09-03 08:38 (-07),On Demand,Leanne Hainsby-Alldis,5,Cycling,Cool Down,5 min Cool Down Ride,2022-08-31 23:00 (-07),15,50,33%,65,11.80,0.98,20,,,
2022-09-04 08:12 (-07),On Demand,Hannah Corbin,10,Stretching,Foam Rolling,10 min Foam Rolling: Chest & Back,2022-05-16 06:00 (-07),,,,,,,29,,,
2022-09-04 08:23 (-07),On Demand,Hannah Corbin,15,Stretching,Foam Rolling,15 min Foam Rolling: Hips,2022-05-16 06:00 (-07),,,,,,,43,,,
2022-09-05 08:10 (-07),On Demand,Tunde Oyeneyin,5,Strength,Warm Up,5 min Upper Body Warm Up,2022-05-13 07:00 (-07),,,,,,,14,,,
2022-09-05 08:16 (-07),On Demand,Tunde Oyeneyin,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,58,,,
2022-09-06 06:57 (-07),On Demand,Hannah Frankson,5,Cycling,Warm Up,5 min Warm Up Ride,2022-09-04 23:00 (-07),20,65,29%,93,13.34,1.11,26,97.00,,
2022-09-06 07:03 (-07),On Demand,Ben Alldis,30,Cycling,Music,30 min House Ride,2022-09-04 01:54 (-07),301,167,50%,74,19.46,9.73,408,,,
2022-09-06 07:34 (-07),On Demand,Hannah Frankson,10,Cycling,Cool Down,10 min Cool Down Ride,2022-09-04 23:00 (-07),32,53,30%,78,12.21,2.04,43,,,
2022-09-07 06:28 (-07),On Demand,Tunde Oyeneyin,5,Strength,Warm Up,5 min Upper Body Warm Up,2022-05-13 07:00 (-07),,,,,,,29,,,
2022-09-07 06:34 (-07),On Demand,Tunde Oyeneyin,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,58,,,
2022-09-08 06:47 (-07),On Demand,Bradley Rose,15,Cycling,Music,15 min 2000s Ride,2022-09-06 03:02 (-07),96,107,38%,86,16.43,4.11,120,115.00,,
2022-09-09 07:04 (-07),On Demand,Tunde Oyeneyin,5,Strength,Warm Up,5 min Upper Body Warm Up,2022-05-13 07:00 (-07),,,,,,,14,,,
2022-09-09 07:10 (-07),On Demand,Tunde Oyeneyin,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,58,,,
2022-09-10 07:40 (-07),On Demand,Bradley Rose,5,Cycling,Warm Up,5 min Warm Up Ride,2022-08-01 22:00 (-07),32,106,38%,86,16.58,1.37,30,102.00,,
2022-09-10 07:47 (-07),On Demand,Cody Rigsby,30,Cycling,Music,30 min 2000s Ride,2022-09-09 14:23 (-07),271,151,45%,81,18.74,9.37,367,,,
2022-09-10 08:18 (-07),On Demand,Olivia Amato,5,Cycling,Cool Down,5 min Cool Down Ride,2022-07-15 08:00 (-07),19,63,29%,88,13.27,1.11,26,,,
2022-09-11 12:26 (-07),On Demand,Hannah Corbin,10,Stretching,Foam Rolling,10 min Foam Rolling: Glutes & Calves,2022-02-24 08:00 (-07),,,,,,,29,,,
2022-09-11 12:38 (-07),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2022-03-30 04:59 (-07),,,,,,,29,,,
2022-09-12 07:31 (-07),On Demand,Tunde Oyeneyin,5,Strength,Warm Up,5 min Upper Body Warm Up,2022-05-13 07:00 (-07),,,,,,,29,,,
2022-09-12 07:36 (-07),On Demand,Tunde Oyeneyin,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,58,,,
2022-09-12 20:29 (-07),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2022-09-12 04:27 (-07),,,,,,,27,,,
2022-09-13 04:56 (-07),On Demand,Leanne Hainsby-Alldis,5,Cycling,Warm Up,5 min Warm Up Ride,2022-07-23 23:00 (-07),30,100,35%,89,15.82,1.31,32,105.00,,
2022-09-13 05:02 (-07),On Demand,Kendall Toole,20,Cycling,Intervals,20 min Tabata Ride,2022-09-08 15:55 (-07),214,178,47%,79,19.60,6.53,289,,,
2022-09-13 05:22 (-07),On Demand,Cliff Dwenger,5,Cycling,Cool Down,5 min Cool Down Ride,2022-08-28 03:00 (-07),17,57,33%,71,12.48,1.04,23,,,
2022-09-13 20:48 (-07),On Demand,Adrian Williams,5,Stretching,Full Body Stretch,5 min Full Body Stretch,2022-09-07 07:00 (-07),,,,,,,14,,,
2022-09-14 06:22 (-07),On Demand,Tunde Oyeneyin,5,Strength,Warm Up,5 min Upper Body Warm Up,2022-05-13 07:00 (-07),,,,,,,14,,,
2022-09-14 06:27 (-07),On Demand,Tunde Oyeneyin,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,58,,,
2022-09-14 19:58 (-07),On Demand,Jermaine Johnson,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2022-09-06 04:16 (-07),,,,,,,29,,,
2022-09-15 07:20 (-07),On Demand,Cody Rigsby,20,Cycling,Music,20 min Pop Ride,2022-09-13 16:37 (-07),177,147,45%,79,18.47,6.15,209,131.00,,
2022-09-15 20:59 (-07),On Demand,Robin Arzon,5,Stretching,Full Body Stretch,5 min Full Body Stretch,2022-03-02 08:00 (-07),,,,,,,14,,,
2022-09-16 06:33 (-07),On Demand,Tunde Oyeneyin,15,Strength,Upper Body,15 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,86,,,
2022-09-18 08:05 (-07),On Demand,Ben Alldis,30,Cycling,Low Impact,30 min Low Impact Ride,2022-09-18 01:55 (-07),149,83,35%,85,14.83,7.41,174,101.00,,
2022-09-18 08:36 (-07),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-03-25 00:00 (-07),,,,,,,14,,,
2022-09-18 20:31 (-07),On Demand,Kirsten Ferguson,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2022-09-14 07:00 (-07),,,,,,,14,,,
2022-09-19 07:38 (-07),On Demand,Hannah Frankson,15,Cycling,Low Impact,15 min Low Impact Ride,2022-08-31 23:32 (-07),70,78,34%,80,14.34,3.58,74,95.00,,
2022-09-20 06:54 (-07),On Demand,Tunde Oyeneyin,5,Strength,Warm Up,5 min Upper Body Warm Up,2022-05-13 07:00 (-07),,,,,,,29,,,
2022-09-20 06:59 (-07),On Demand,Tunde Oyeneyin,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,58,,,
2022-09-20 20:34 (-07),On Demand,Jon Hosking,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2022-05-09 05:22 (-07),,,,,,,14,,,
2022-09-21 07:14 (-07),On Demand,Tunde Oyeneyin,15,Strength,Upper Body,15 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,86,,,
2022-09-22 06:33 (-07),On Demand,Ally Love,5,Cycling,Warm Up,5 min Warm Up Ride,2022-09-19 08:00 (-07),17,58,30%,83,12.53,1.04,19,87.00,,
2022-09-22 06:39 (-07),On Demand,Hannah Frankson,30,Cycling,Music,30 min EDM Ride,2022-09-21 22:55 (-07),210,117,43%,75,16.93,8.47,284,,,
2022-09-22 07:09 (-07),On Demand,Ally Love,5,Cycling,Cool Down,5 min Cool Down Ride,2022-09-19 08:00 (-07),24,82,38%,73,14.76,1.23,33,,,
2022-09-23 07:04 (-07),On Demand,Tunde Oyeneyin,15,Strength,Upper Body,15 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,86,,,
2022-09-24 07:59 (-07),On Demand,Alex Toussaint,5,Cycling,Warm Up,5 min Warm Up Ride,2022-07-19 08:00 (-07),31,104,37%,85,15.91,1.32,42,,,
2022-09-24 08:05 (-07),On Demand,Cody Rigsby,30,Cycling,Music,30 min Pop Ride,2022-09-19 08:00 (-07),327,182,51%,76,20.08,10.05,443,,,
2022-09-24 08:38 (-07),On Demand,Hannah Frankson,5,Cycling,Cool Down,5 min Cool Down Ride,2022-07-16 00:30 (-07),12,39,28%,69,10.57,0.88,16,,,
2022-09-25 08:58 (-07),On Demand,Jermaine Johnson,5,Stretching,Lower Body Stretch,5 min Lower Body Stretch,2022-09-22 04:11 (-07),,,,,,,14,,,
2022-09-25 09:04 (-07),On Demand,Hannah Corbin,10,Stretching,Foam Rolling,10 min Foam Rolling: Full Body,2021-08-24 07:00 (-07),,,,,,,29,,,
2022-09-26 07:03 (-07),On Demand,Ally Love,20,Cycling,Low Impact,20 min Low Impact Ride,2022-09-26 04:27 (-07),87,72,32%,85,14.02,4.67,114,100.00,,
2022-09-27 06:27 (-07),On Demand,Tunde Oyeneyin,5,Strength,Warm Up,5 min Upper Body Warm Up,2022-05-13 07:00 (-07),,,,,,,14,,,
2022-09-27 06:32 (-07),On Demand,Tunde Oyeneyin,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,58,,,
2022-09-29 07:26 (-07),On Demand,Tunde Oyeneyin,15,Strength,Upper Body,15 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,86,,,
2022-09-30 07:57 (-07),On Demand,Bradley Rose,10,Cycling,Warm Up,10 min Warm Up Ride,2022-09-25 23:00 (-07),47,78,31%,91,14.55,2.43,56,100.00,,
2022-09-30 08:07 (-07),On Demand,Bradley Rose,15,Cycling,Intervals,15 min Tabata Ride,2022-09-27 02:53 (-07),115,127,41%,83,17.73,4.43,155,,,
2022-10-01 08:35 (-07),On Demand,Tunde Oyeneyin,20,Strength,Upper Body,20 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,115,,,
2022-10-02 10:31 (-07),On Demand,Jon Hosking,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2022-05-09 05:22 (-07),,,,,,,14,,,
2022-10-02 19:15 (-07),On Demand,Olivia Amato,5,Stretching,Full Body Stretch,5 min Full Body Stretch,2022-09-21 07:00 (-07),,,,,,,14,,,
2022-10-02 19:21 (-07),On Demand,Hannah Corbin,10,Stretching,Foam Rolling,10 min Foam Rolling: Glutes,2019-12-08 09:54 (-07),,,,,,,29,,,
2022-10-03 06:50 (-07),On Demand,Callie Gullickson,45,Strength,Full Body,"45 min Back, Biceps & Legs",2022-04-18 04:00 (-07),,,,,,,259,,,
2022-10-04 08:10 (-07),On Demand,Ben Alldis,20,Cycling,Low Impact,20 min Low Impact Ride,2022-09-26 23:22 (-07),117,97,37%,84,15.82,5.27,138,108.00,,
2022-10-05 07:59 (-07),On Demand,Callie Gullickson,30,Strength,Full Body,"30 min Chest, Shoulders & Triceps",2022-04-18 04:00 (-07),,,,,,,172,,,
2022-10-06 07:34 (-07),On Demand,Ben Alldis,10,Cycling,Warm Up,10 min Warm Up Ride,2022-10-02 23:00 (-07),58,98,34%,92,15.88,2.64,79,,,
2022-10-06 07:45 (-07),On Demand,Alex Toussaint,20,Cycling,Climb,20 min Climb Ride,2022-10-05 11:29 (-07),170,141,48%,71,18.45,6.15,230,,,
2022-10-07 07:08 (-07),On Demand,Callie Gullickson,30,Strength,Full Body,30 min Legs & Core,2022-04-18 04:00 (-07),,,,,,,173,,,
2022-10-07 19:30 (-07),On Demand,Logan Aldridge,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2022-10-05 07:00 (-07),,,,,,,29,,,
2022-10-08 09:48 (-07),On Demand,Sam Yo,10,Cycling,Warm Up,10 min Warm Up Ride,2022-09-13 23:00 (-07),76,127,39%,89,17.69,2.95,68,109.00,,
2022-10-08 10:00 (-07),On Demand,Cody Rigsby,30,Cycling,Music,30 min Pop Ride,2022-10-07 14:25 (-07),263,146,47%,76,18.49,9.24,312,131.00,,
2022-10-09 19:46 (-07),On Demand,Rebecca Kennedy,10,Stretching,Lower Body Stretch,10 min Lower Body Stretch,2022-07-14 07:48 (-07),,,,,,,29,,,
2022-10-10 08:39 (-07),On Demand,Matty Maggiacomo,10,Stretching,Lower Body Stretch,10 min Glutes & Legs Stretch,2022-04-20 07:00 (-07),,,,,,,29,,,
2022-10-11 07:58 (-07),On Demand,Callie Gullickson,45,Strength,Full Body,"45 min Back, Biceps & Legs",2022-04-18 04:00 (-07),,,,,,,259,,,
2022-10-12 08:12 (-07),On Demand,Tunde Oyeneyin,5,Strength,Warm Up,5 min Upper Body Warm Up,2022-05-13 07:00 (-07),,,,,,,14,,,
2022-10-12 08:18 (-07),On Demand,Tunde Oyeneyin,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,58,,,
2022-10-12 08:30 (-07),On Demand,Jermaine Johnson,5,Stretching,Upper Body Stretch,5 min Upper Body Stretch,2022-09-13 04:07 (-07),,,,,,,14,,,
2022-10-12 11:17 (-07),On Demand,Becs Gentry,20,Cycling,Theme,20 min Our Future Selves: Premiere,2022-10-11 06:00 (-07),169,141,40%,89,18.27,6.09,190,122.00,,
2022-10-13 09:09 (-07),On Demand,Callie Gullickson,30,Strength,Full Body,"30 min Chest, Shoulders & Triceps",2022-04-18 04:00 (-07),,,,,,,173,,,
2022-10-15 11:44 (-07),On Demand,Leanne Hainsby-Alldis,5,Cycling,Warm Up,5 min AFO Warm Up Ride: The Beach Boys,2022-08-19 05:15 (-07),30,101,34%,93,15.95,1.32,29,101.00,,
2022-10-15 11:51 (-07),On Demand,Olivia Amato,30,Cycling,Climb,30 min Climb Ride,2022-10-15 04:55 (-07),285,158,47%,76,19.05,9.52,386,,,
2022-10-15 12:23 (-07),On Demand,Camila Ramon,5,Cycling,Cool Down,5 min Cool Down Ride,2022-06-26 08:00 (-07),26,87,42%,65,14.84,1.24,35,,,
2022-10-15 12:30 (-07),On Demand,Hannah Corbin,10,Stretching,Pre & Post-Ride Stretch,10 min Post-Ride Stretch,2022-09-13 08:00 (-07),,,,,,,29,,,
2022-10-16 08:26 (-07),On Demand,Callie Gullickson,30,Strength,Full Body,30 min Legs & Core,2022-04-18 04:00 (-07),,,,,,,173,,,
2022-10-17 09:09 (-07),On Demand,Tunde Oyeneyin,5,Strength,Warm Up,5 min Upper Body Warm Up,2022-05-13 07:00 (-07),,,,,,,29,,,
2022-10-17 09:14 (-07),On Demand,Tunde Oyeneyin,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,58,,,
2022-10-17 09:27 (-07),On Demand,Matty Maggiacomo,5,Stretching,Upper Body Stretch,5 min Upper Body Stretch,2022-05-25 07:00 (-07),,,,,,,14,,,
2022-10-18 08:44 (-07),On Demand,Tunde Oyeneyin,5,Strength,Warm Up,5 min Upper Body Warm Up,2022-05-13 07:00 (-07),,,,,,,14,,,
2022-10-18 08:49 (-07),On Demand,Tunde Oyeneyin,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,58,,,
2022-10-18 19:58 (-07),On Demand,Assal Arian,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2022-10-12 23:00 (-07),,,,,,,29,,,
2022-10-20 10:29 (-07),On Demand,Tunde Oyeneyin,5,Strength,Warm Up,5 min Upper Body Warm Up,2022-05-13 07:00 (-07),,,,,,,29,,,
2022-10-20 10:36 (-07),On Demand,Tunde Oyeneyin,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,57,,,
2022-10-21 06:07 (-07),On Demand,Camila Ramon,10,Cycling,Warm Up,10 min Warm Up Ride,2022-07-10 08:00 (-07),46,77,32%,88,14.30,2.38,54,98.00,,
2022-10-21 06:18 (-07),On Demand,Emma Lovewell,20,Cycling,Music,20 min EDM Ride,2022-10-19 06:53 (-07),147,123,42%,79,17.22,5.74,178,121.00,,
2022-10-21 09:02 (-07),On Demand,Callie Gullickson,5,Stretching,Lower Body Stretch,5 min Lower Body Stretch,2022-02-28 08:30 (-07),,,,,,,14,,,
2022-10-22 08:09 (-07),On Demand,Cody Rigsby,5,Cycling,Warm Up,5 min Warm Up Ride,2022-05-26 08:00 (-07),27,91,35%,90,15.50,1.29,27,98.00,,
2022-10-22 08:15 (-07),On Demand,Alex Toussaint,20,Cycling,Intervals,20 min Tabata Ride,2022-10-13 08:00 (-07),166,138,38%,94,17.79,5.93,206,130.00,,
2022-10-24 09:26 (-07),On Demand,Tunde Oyeneyin,5,Strength,Warm Up,5 min Upper Body Warm Up,2022-05-13 07:00 (-07),,,,,,,14,,,
2022-10-24 09:32 (-07),On Demand,Tunde Oyeneyin,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2022-05-13 07:00 (-07),,,,,,,58,,,
2022-10-25 09:02 (-07),On Demand,Hannah Corbin,5,Cycling,Warm Up,5 min Warm Up Ride,2022-10-25 08:00 (-07),18,60,31%,78,12.91,1.07,21,86.00,,
